DEBUG 2023-10-03 21:51:53,198 autoreload File C:\Users\alecb\.virtualenvs\alecb-IuTAPro5\Lib\site-packages\django\db\models\fields\related_descriptors.py first seen with mtime 1696004250.6035733
DEBUG 2023-10-03 21:51:53,199 autoreload File C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.11_3.11.1520.0_x64__qbz5n2kfra8p0\Lib\re\_casefix.py first seen with mtime 1694630746.5293336
DEBUG 2023-10-03 21:51:53,199 autoreload File C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.11_3.11.1520.0_x64__qbz5n2kfra8p0\DLLs\_overlapped.pyd first seen with mtime 1694630744.067554
DEBUG 2023-10-03 21:51:53,199 autoreload File C:\Users\alecb\.virtualenvs\alecb-IuTAPro5\Lib\site-packages\django\forms\boundfield.py first seen with mtime 1696004250.6291752
DEBUG 2023-10-03 21:51:53,199 autoreload File C:\Users\alecb\education_project\students\urls.py first seen with mtime 1696113886.7197413
DEBUG 2023-10-03 21:51:53,200 autoreload File C:\Users\alecb\.virtualenvs\alecb-IuTAPro5\Lib\site-packages\django\core\handlers\exception.py first seen with mtime 1696004250.342366
DEBUG 2023-10-03 21:51:53,200 autoreload File C:\Users\alecb\.virtualenvs\alecb-IuTAPro5\Lib\site-packages\django\contrib\admin\filters.py first seen with mtime 1696004246.0782602
DEBUG 2023-10-03 21:51:53,200 autoreload File C:\Users\alecb\.virtualenvs\alecb-IuTAPro5\Lib\site-packages\django\contrib\contenttypes\management\__init__.py first seen with mtime 1696004247.7698445
DEBUG 2023-10-03 21:51:53,200 autoreload File C:\Users\alecb\.virtualenvs\alecb-IuTAPro5\Lib\site-packages\django\contrib\auth\backends.py first seen with mtime 1696004247.0723586
DEBUG 2023-10-03 21:51:53,201 autoreload File C:\Users\alecb\.virtualenvs\alecb-IuTAPro5\Lib\site-packages\django\dispatch\__init__.py first seen with mtime 1696004250.6247525
DEBUG 2023-10-03 21:51:53,201 autoreload File C:\Users\alecb\.virtualenvs\alecb-IuTAPro5\Lib\site-packages\django\views\decorators\csrf.py first seen with mtime 1696004250.919268
DEBUG 2023-10-03 21:51:53,202 autoreload File C:\Users\alecb\education_project\users\models.py first seen with mtime 1696306697.8813422
DEBUG 2023-10-03 21:51:53,202 autoreload File C:\Users\alecb\.virtualenvs\alecb-IuTAPro5\Lib\site-packages\django\db\transaction.py first seen with mtime 1696004250.45489
DEBUG 2023-10-03 21:51:53,202 autoreload File C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.11_3.11.1520.0_x64__qbz5n2kfra8p0\Lib\email\policy.py first seen with mtime 1694630745.2119634
DEBUG 2023-10-03 21:51:53,202 autoreload File C:\Users\alecb\.virtualenvs\alecb-IuTAPro5\Lib\site-packages\django\contrib\admin\templatetags\__init__.py first seen with mtime 1696004246.7980802
DEBUG 2023-10-03 21:51:53,202 autoreload File C:\Users\alecb\.virtualenvs\alecb-IuTAPro5\Lib\site-packages\django\core\signing.py first seen with mtime 1696004250.1422641
DEBUG 2023-10-03 21:51:53,202 autoreload File C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.11_3.11.1520.0_x64__qbz5n2kfra8p0\Lib\wsgiref\headers.py first seen with mtime 1694630749.0377429
DEBUG 2023-10-03 21:51:53,203 autoreload File C:\Users\alecb\education_project\courses\__init__.py first seen with mtime 1696205072.351505
DEBUG 2023-10-03 21:51:53,203 autoreload File C:\Users\alecb\.virtualenvs\alecb-IuTAPro5\Lib\site-packages\django\shortcuts.py first seen with mtime 1696004245.5268104
DEBUG 2023-10-03 21:51:53,204 autoreload File C:\Users\alecb\.virtualenvs\alecb-IuTAPro5\Lib\site-packages\django\template\backends\__init__.py first seen with mtime 1696004250.794416
